name,tokens,bytes,gib,source,verified_on
DeepSeek-V2-Lite (MLA-style),4096,127401984,0.11865234375,https://huggingface.co/deepseek-ai/DeepSeek-V2-Lite-Chat/blob/main/config.json,2026-07-19
DeepSeek-V2-Lite (MLA-style),32768,1019215872,0.94921875,https://huggingface.co/deepseek-ai/DeepSeek-V2-Lite-Chat/blob/main/config.json,2026-07-19
DeepSeek-V2-Lite (MLA-style),131072,4076863488,3.796875,https://huggingface.co/deepseek-ai/DeepSeek-V2-Lite-Chat/blob/main/config.json,2026-07-19
Llama 2 7B (MHA),4096,2147483648,2.0,https://huggingface.co/meta-llama/Llama-2-7b-hf/blob/main/config.json,2026-07-19
Llama 2 7B (MHA),32768,17179869184,16.0,https://huggingface.co/meta-llama/Llama-2-7b-hf/blob/main/config.json,2026-07-19
Llama 2 7B (MHA),131072,68719476736,64.0,https://huggingface.co/meta-llama/Llama-2-7b-hf/blob/main/config.json,2026-07-19
Llama 3.1 8B (GQA),4096,536870912,0.5,https://huggingface.co/meta-llama/Llama-3.1-8B/tree/main,2026-07-19
Llama 3.1 8B (GQA),32768,4294967296,4.0,https://huggingface.co/meta-llama/Llama-3.1-8B/tree/main,2026-07-19
Llama 3.1 8B (GQA),131072,17179869184,16.0,https://huggingface.co/meta-llama/Llama-3.1-8B/tree/main,2026-07-19
