method,depth_percent,successes,trials,accuracy,standard_error
rope,0,62,256,0.2421875,0.026775448966514053
rope,5,142,256,0.5546875,0.031062517438611176
rope,10,159,256,0.62109375,0.030319670782692373
rope,15,108,256,0.421875,0.030866173104060757
rope,20,161,256,0.62890625,0.030193592728252786
rope,25,81,256,0.31640625,0.029067092040504536
rope,30,78,256,0.3046875,0.028767184221983273
rope,35,80,256,0.3125,0.028969525340217434
rope,40,167,256,0.65234375,0.02976413673024351
rope,45,154,256,0.6015625,0.03059852545682285
rope,50,166,256,0.6484375,0.029841135919135786
rope,55,159,256,0.62109375,0.030319670782692373
rope,60,82,256,0.3203125,0.02916228851882639
rope,65,188,256,0.734375,0.027604089892778457
rope,70,163,256,0.63671875,0.03005905537687681
rope,75,185,256,0.72265625,0.027980475498546407
rope,80,163,256,0.63671875,0.03005905537687681
rope,85,222,256,0.8671875,0.021210748661106907
rope,90,217,256,0.84765625,0.022459610609583836
rope,95,232,256,0.90625,0.018217537213064093
rope,100,256,256,1.0,0.0
ntk,0,68,256,0.265625,0.027604089892778457
ntk,5,137,256,0.53515625,0.031172656668516294
ntk,10,114,256,0.4453125,0.031062517438611176
ntk,15,119,256,0.46484375,0.031172656668516294
ntk,20,145,256,0.56640625,0.030973161893160215
ntk,25,233,256,0.91015625,0.017872361101749213
ntk,30,209,256,0.81640625,0.024197033405536764
ntk,35,171,256,0.66796875,0.029433883736440604
ntk,40,149,256,0.58203125,0.030826560814564648
ntk,45,171,256,0.66796875,0.029433883736440604
ntk,50,138,256,0.5390625,0.031154486603416544
ntk,55,113,256,0.44140625,0.03103468148580773
ntk,60,235,256,0.91796875,0.017150770302425275
ntk,65,221,256,0.86328125,0.02147188690678224
ntk,70,194,256,0.7578125,0.026775448966514053
ntk,75,152,256,0.59375,0.03069576883887053
ntk,80,231,256,0.90234375,0.01855308124215169
ntk,85,218,256,0.8515625,0.02222082080660694
ntk,90,230,256,0.8984375,0.01887950676677852
ntk,95,237,256,0.92578125,0.016382909247859002
ntk,100,256,256,1.0,0.0
yarn,0,175,256,0.68359375,0.029067092040504536
yarn,5,226,256,0.8828125,0.020102723486561426
yarn,10,195,256,0.76171875,0.026627002264679955
yarn,15,184,256,0.71875,0.028100575331910467
yarn,20,161,256,0.62890625,0.030193592728252786
yarn,25,150,256,0.5859375,0.030784961457320535
yarn,30,218,256,0.8515625,0.02222082080660694
yarn,35,193,256,0.75390625,0.02692086320725943
yarn,40,221,256,0.86328125,0.02147188690678224
yarn,45,204,256,0.796875,0.02514529919840573
yarn,50,177,256,0.69140625,0.02886956438698525
yarn,55,194,256,0.7578125,0.026775448966514053
yarn,60,208,256,0.8125,0.024394523431243743
yarn,65,252,256,0.984375,0.007751224544134543
yarn,70,239,256,0.93359375,0.015561930205550085
yarn,75,248,256,0.96875,0.010874539771152386
yarn,80,243,256,0.94921875,0.013721919430074605
yarn,85,233,256,0.91015625,0.017872361101749213
yarn,90,251,256,0.98046875,0.008648920695272632
yarn,95,248,256,0.96875,0.010874539771152386
yarn,100,255,256,0.99609375,0.003898613140300613
