memory,pairs,accuracy
full attention,2,1.0
fixed state (8 slots),2,0.944091796875
fixed state (32 slots),2,0.986083984375
full attention,4,1.0
fixed state (8 slots),4,0.832275390625
fixed state (32 slots),4,0.949462890625
full attention,8,1.0
fixed state (8 slots),8,0.658935546875
fixed state (32 slots),8,0.89697265625
full attention,16,1.0
fixed state (8 slots),16,0.44091796875
fixed state (32 slots),16,0.787109375
full attention,32,1.0
fixed state (8 slots),32,0.243408203125
fixed state (32 slots),32,0.643310546875
full attention,64,1.0
fixed state (8 slots),64,0.125
fixed state (32 slots),64,0.44140625
full attention,128,1.0
fixed state (8 slots),128,0.061767578125
fixed state (32 slots),128,0.2431640625
